,Date,Time,Ticker,Volume,Open,High,Low,Close,EMA_15,signal,ATMSP
0,2023-09-04,10:45:00,NIFTY23SEPFUT,105650,19514.0,19534.9,19508.0,19519.85,19516.097753394763,Buy,19500
1,2023-09-04,15:00:00,NIFTY23SEPFUT,133800,19613.8,19620.0,19601.25,19606.95,19587.344514535893,Sell,0
2,2023-09-05,14:00:00,NIFTY23SEPFUT,136650,19619.0,19638.75,19619.0,19628.6,19623.703374996923,Buy,19600
3,2023-09-05,15:00:00,NIFTY23SEPFUT,107100,19653.4,19664.0,19645.0,19650.7,19633.79764486514,Sell,0
4,2023-09-06,10:30:00,NIFTY23SEPFUT,52050,19636.35,19647.2,19629.9,19638.0,19635.054457352242,Buy,19600
5,2023-09-06,10:45:00,NIFTY23SEPFUT,48700,19638.0,19646.5,19627.05,19629.0,19634.297650183213,Sell,0
6,2023-09-06,14:15:00,NIFTY23SEPFUT,196650,19571.55,19606.25,19570.95,19600.0,19593.833447534056,Buy,19600
7,2023-09-06,15:00:00,NIFTY23SEPFUT,512850,19611.65,19673.0,19611.65,19660.15,19606.259418953476,Sell,0
8,2023-09-12,10:45:00,NIFTY23SEPFUT,128300,20021.5,20050.05,20015.15,20046.3,20027.814134859993,Buy,20000
9,2023-09-12,12:15:00,NIFTY23SEPFUT,168250,20072.95,20073.0,20031.1,20038.45,20049.21476746423,Sell,0
10,2023-09-12,13:00:00,NIFTY23SEPFUT,125850,20016.0,20044.0,20007.0,20042.8,20041.352471172322,Buy,20000
11,2023-09-12,14:00:00,NIFTY23SEPFUT,137800,20039.3,20069.35,20029.95,20065.0,20046.212276192564,Buy,20100
12,2023-09-12,15:00:00,NIFTY23SEPFUT,148200,20066.0,20073.95,20036.0,20037.3,20048.95606082479,Sell,0
13,2023-09-13,11:00:00,NIFTY23SEPFUT,145850,20037.3,20070.0,20033.0,20065.75,20043.314881367172,Buy,20100
14,2023-09-13,15:00:00,NIFTY23SEPFUT,167500,20143.0,20147.0,20118.3,20123.1,20116.81199694953,Sell,0
15,2023-09-14,12:00:00,NIFTY23SEPFUT,96900,20128.95,20146.8,20122.0,20144.0,20136.70349241655,Buy,20100
16,2023-09-14,12:15:00,NIFTY23SEPFUT,70000,20144.0,20149.6,20121.05,20125.0,20135.240555864482,Sell,0
17,2023-09-14,13:00:00,NIFTY23SEPFUT,69950,20122.8,20143.6,20112.5,20137.95,20133.013595042026,Buy,20100
18,2023-09-14,13:30:00,NIFTY23SEPFUT,62300,20136.3,20146.2,20122.95,20127.15,20132.744002454052,Sell,0
19,2023-09-14,14:15:00,NIFTY23SEPFUT,158850,20123.5,20147.95,20119.05,20139.95,20130.921861019026,Buy,20100
20,2023-09-14,15:00:00,NIFTY23SEPFUT,394450,20160.0,20173.4,20155.1,20167.2,20139.639840487354,Sell,0
21,2023-09-15,15:00:00,NIFTY23SEPFUT,231450,20257.0,20270.0,20243.0,20245.3,20237.87014410118,Sell,0
22,2023-09-20,15:00:00,NIFTY23SEPFUT,251400,19969.1,19976.0,19951.15,19967.9,19995.713126482307,Sell,0
23,2023-09-22,10:30:00,NIFTY23SEPFUT,177050,19737.6,19785.0,19735.35,19784.05,19763.138115826012,Buy,19800
24,2023-09-22,13:15:02,NIFTY23SEPFUT,86100,19800.25,19810.0,19760.75,19760.75,19786.581337241827,Sell,0
25,2023-09-22,15:00:00,NIFTY23SEPFUT,427000,19719.15,19730.95,19694.75,19695.0,19748.736995084833,Sell,0
26,2023-09-25,14:45:00,NIFTY23SEPFUT,144950,19661.1,19725.0,19658.95,19725.0,19695.581102354503,Buy,19700
27,2023-09-25,15:00:00,NIFTY23SEPFUT,129200,19725.0,19728.5,19685.0,19704.4,19696.68346456019,Sell,0
28,2023-09-26,11:00:00,NIFTY23SEPFUT,99000,19675.1,19697.65,19670.0,19694.3,19693.199492065683,Buy,19700
29,2023-09-26,11:30:00,NIFTY23SEPFUT,208600,19694.8,19700.0,19679.5,19685.0,19692.34961111279,Sell,0
30,2023-09-26,13:30:00,NIFTY23SEPFUT,150150,19677.65,19698.5,19675.75,19692.0,19681.584816666997,Buy,19700
31,2023-09-26,14:30:00,NIFTY23SEPFUT,95700,19685.15,19688.8,19670.6,19681.0,19682.394005082388,Sell,0
32,2023-09-26,14:45:00,NIFTY23SEPFUT,154900,19681.0,19689.25,19675.0,19684.45,19682.651004447092,Buy,19700
33,2023-09-26,15:00:00,NIFTY23SEPFUT,130000,19684.2,19684.75,19663.1,19678.0,19682.069628891208,Sell,0
34,2023-09-27,11:00:00,NIFTY23SEPFUT,236350,19577.1,19635.0,19577.0,19632.0,19617.424203709597,Buy,19600
35,2023-09-27,15:00:00,NIFTY23SEPFUT,307200,19737.6,19742.0,19706.3,19708.0,19688.189963668374,Sell,0
36,2023-09-28,10:00:00,NIFTY23SEPFUT,295050,19660.0,19729.7,19654.95,19716.95,19689.026328105905,Buy,19700
37,2023-09-28,15:00:00,NIFTY23SEPFUT,522350,19540.05,19542.95,19501.0,19512.35,19572.14319730185,Sell,0
