,Strategy,Symbol,Date,option,Qty,ExpiryDt,Strike,EnTime,BPrice,ExTime,SPrice
0,EMA_15_CE_strategy,NIFTY,2023-09-04,CE,50,2023-09-07,19500,11:00:00,48.3,15:15:00,85.75
1,EMA_15_CE_strategy,NIFTY,2023-09-05,CE,50,2023-09-07,19600,14:15:00,34.3,15:15:00,40.95
2,EMA_15_CE_strategy,NIFTY,2023-09-06,CE,50,2023-09-07,19600,10:45:00,32.05,11:00:00,27.8
3,EMA_15_CE_strategy,NIFTY,2023-09-06,CE,50,2023-09-07,19600,14:30:00,14.3,15:15:00,32.25
4,EMA_15_CE_strategy,NIFTY,2023-09-12,CE,50,2023-09-14,20000,11:00:00,79.9,12:30:00,74.45
5,EMA_15_CE_strategy,NIFTY,2023-09-12,CE,50,2023-09-14,20100,14:15:00,39.0,15:15:00,28.8
6,EMA_15_CE_strategy,NIFTY,2023-09-13,CE,50,2023-09-14,20100,11:15:00,28.0,15:15:00,38.75
7,EMA_15_CE_strategy,NIFTY,2023-09-14,CE,50,2023-09-14,20100,12:15:00,21.0,12:30:00,14.0
8,EMA_15_CE_strategy,NIFTY,2023-09-14,CE,50,2023-09-14,20100,13:15:00,15.95,13:45:00,9.65
