,Date,Time,Ticker,Volume,Open,High,Low,Close,EMA_15,signal,ATMSP
0,2022-01-03,09:30:00,NIFTY-I.NFO,378100,17503.7,17512.0,17483.65,17497.35,17504.0,,0
1,2022-01-03,09:45:00,NIFTY-I.NFO,403650,17496.75,17529.0,17494.4,17527.1,17506.8875,Buy,17500
2,2022-01-03,10:00:00,NIFTY-I.NFO,217850,17527.25,17536.95,17519.4,17531.5,17509.964062500003,,0
3,2022-01-03,10:15:00,NIFTY-I.NFO,315950,17531.9,17552.35,17520.2,17547.85,17514.6998046875,,0
4,2022-01-03,10:30:00,NIFTY-I.NFO,211850,17546.4,17557.0,17542.85,17549.95,17519.106079101566,,0
5,2022-01-03,10:45:00,NIFTY-I.NFO,121350,17548.1,17560.0,17542.95,17558.0,17523.96781921387,,0
6,2022-01-03,11:00:00,NIFTY-I.NFO,211400,17558.95,17570.0,17551.15,17567.6,17529.421841812138,,0
7,2022-01-03,11:15:00,NIFTY-I.NFO,433000,17570.0,17574.1,17557.0,17569.0,17534.36911158562,,0
8,2022-01-03,11:30:00,NIFTY-I.NFO,123250,17569.0,17569.9,17557.1,17567.0,17538.44797263742,,0
9,2022-01-03,11:45:00,NIFTY-I.NFO,68700,17566.95,17568.0,17557.85,17567.75,17542.11072605774,,0
10,2022-01-03,12:00:00,NIFTY-I.NFO,90200,17568.5,17570.0,17559.0,17567.05,17545.228135300524,,0
11,2022-01-03,12:15:00,NIFTY-I.NFO,167350,17567.05,17583.15,17564.9,17581.45,17549.755868387958,,0
12,2022-01-03,12:30:00,NIFTY-I.NFO,347900,17581.45,17625.95,17581.45,17613.9,17557.773884839462,,0
13,2022-01-03,12:45:00,NIFTY-I.NFO,186900,17613.9,17619.0,17600.15,17609.05,17564.183399234527,,0
14,2022-01-03,13:00:00,NIFTY-I.NFO,90600,17610.05,17621.0,17607.8,17616.35,17570.704224330213,,0
15,2022-01-03,13:15:00,NIFTY-I.NFO,244000,17616.35,17630.5,17613.5,17623.0,17577.24119628894,,0
16,2022-01-03,13:30:00,NIFTY-I.NFO,145400,17623.25,17626.0,17606.0,17620.0,17582.586046752822,,0
17,2022-01-03,13:45:00,NIFTY-I.NFO,195900,17618.0,17641.0,17618.0,17640.0,17589.762790908717,,0
