,Date,Time,Ticker,Volume,Open,High,Low,Close,EMA_15,signal,ATMSP
0,2023-09-01,09:30:00,NIFTY23SEPFUT,276550,19389.75,19411.4,19385.7,19406.75,19391.21875,,0
1,2023-09-01,09:45:00,NIFTY23SEPFUT,212800,19406.75,19428.3,19401.0,19405.0,19392.94140625,,0
2,2023-09-01,10:00:00,NIFTY23SEPFUT,194550,19405.0,19405.0,19380.0,19394.3,19393.11123046875,,0
3,2023-09-01,10:15:00,NIFTY23SEPFUT,179650,19394.3,19432.65,19392.4,19426.9,19397.334826660153,,0
4,2023-09-01,10:30:00,NIFTY23SEPFUT,134150,19427.15,19435.0,19401.0,19402.0,19397.917973327632,,0
5,2023-09-01,10:45:00,NIFTY23SEPFUT,54700,19401.9,19419.7,19395.05,19417.0,19400.30322666168,,0
6,2023-09-01,11:00:00,NIFTY23SEPFUT,116000,19417.0,19429.0,19411.15,19415.0,19402.140323328967,,0
7,2023-09-01,11:15:00,NIFTY23SEPFUT,85650,19416.55,19435.0,19415.0,19426.9,19405.235282912847,,0
8,2023-09-01,11:30:00,NIFTY23SEPFUT,67250,19426.9,19433.95,19416.1,19416.75,19406.67462254874,,0
9,2023-09-01,11:45:00,NIFTY23SEPFUT,53400,19416.75,19425.7,19416.0,19420.55,19408.409044730146,,0
10,2023-09-01,12:00:00,NIFTY23SEPFUT,37800,19420.55,19425.0,19415.0,19420.3,19409.895414138875,,0
11,2023-09-01,12:15:00,NIFTY23SEPFUT,85450,19420.3,19428.15,19405.05,19420.0,19411.158487371515,,0
12,2023-09-01,12:30:00,NIFTY23SEPFUT,295800,19420.0,19464.45,19418.3,19455.95,19416.757426450076,,0
13,2023-09-01,12:45:00,NIFTY23SEPFUT,230800,19456.0,19479.05,19455.05,19477.55,19424.356498143814,,0
14,2023-09-01,13:00:00,NIFTY23SEPFUT,226900,19478.55,19498.2,19477.0,19488.0,19432.311935875838,,0
15,2023-09-01,13:15:00,NIFTY23SEPFUT,160500,19488.0,19505.0,19481.8,19488.85,19439.37919389136,,0
16,2023-09-01,13:30:00,NIFTY23SEPFUT,119050,19488.85,19500.0,19482.35,19493.6,19446.15679465494,,0
17,2023-09-01,13:45:00,NIFTY23SEPFUT,150100,19493.0,19505.05,19490.3,19504.65,19453.468445323073,,0
18,2023-09-01,14:00:00,NIFTY23SEPFUT,208850,19505.0,19520.0,19501.8,19518.35,19461.57863965769,,0
19,2023-09-01,14:15:00,NIFTY23SEPFUT,262300,19520.0,19528.95,19505.1,19518.35,19468.67505970048,,0
20,2023-09-01,14:30:00,NIFTY23SEPFUT,103000,19518.35,19521.0,19502.15,19505.45,19473.27192723792,,0
21,2023-09-01,14:45:00,NIFTY23SEPFUT,85700,19505.45,19516.7,19498.0,19510.45,19477.919186333183,,0
22,2023-09-01,15:00:00,NIFTY23SEPFUT,150850,19510.45,19523.0,19500.0,19510.7,19482.016788041536,Sell,0
23,2023-09-04,09:30:00,NIFTY23SEPFUT,190550,19581.1,19583.85,19542.0,19545.0,19504.19933261376,,0
24,2023-09-04,09:45:00,NIFTY23SEPFUT,86300,19544.15,19568.7,19540.0,19559.4,19511.09941603704,,0
25,2023-09-04,10:00:00,NIFTY23SEPFUT,107300,19559.5,19569.95,19527.0,19534.1,19513.97448903241,,0
26,2023-09-04,10:15:00,NIFTY23SEPFUT,115650,19534.1,19544.0,19517.35,19529.6,19515.92767790336,,0
